# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.373932674527168274e-02 9.225559692382812500e+02 2.561526367187500000e+03 4.076180725097656250e+02 4.659928753972053528e-02 1.062264814972877502e-01 1.467157714068889618e-02 9.225559692382812500e+02 2.561526367187500000e+03 4.076180725097656250e+02 4.659928753972053528e-02 1.062264814972877502e-01
1.000000000000000000e+03 3.398395156860351562e+01 6.664841651916503906e+00 1.061722412109375000e+02 2.161231803894042969e+01 1.103743910789489746e+00 1.513879585266113281e+01 2.656101417541503906e+01 6.664841651916503906e+00 1.061722412109375000e+02 2.161231803894042969e+01 1.103743910789489746e+00 1.513879585266113281e+01
2.000000000000000000e+03 1.162045860290527344e+01 1.313750147819519043e+00 7.800644397735595703e+00 4.309569835662841797e+00 1.391045331954956055e+00 4.475286006927490234e+00 8.347874641418457031e+00 1.313750147819519043e+00 7.800644397735595703e+00 4.309569835662841797e+00 1.391045331954956055e+00 4.475286006927490234e+00
3.000000000000000000e+03 8.178969383239746094e+00 1.359449625015258789e+00 6.152295589447021484e+00 1.280698776245117188e+00 1.051261305809020996e+00 3.326369524002075195e+00 3.806921482086181641e+00 1.359449625015258789e+00 6.152295589447021484e+00 1.280698776245117188e+00 1.051261305809020996e+00 3.326369524002075195e+00
4.000000000000000000e+03 2.541370868682861328e+00 3.830634057521820068e-01 2.257416963577270508e+00 1.816791296005249023e-01 8.148563504219055176e-01 9.660113453865051270e-01 2.431213855743408203e+00 3.830634057521820068e-01 2.257416963577270508e+00 1.816791296005249023e-01 8.148563504219055176e-01 9.660113453865051270e-01
5.000000000000000000e+03 1.076758480072021484e+01 5.651972293853759766e-01 4.577008056640625000e+01 5.865918993949890137e-01 1.069483280181884766e+00 3.256952524185180664e+00 3.410237550735473633e+00 5.651972293853759766e-01 4.577008056640625000e+01 5.865918993949890137e-01 1.069483280181884766e+00 3.256952524185180664e+00
6.000000000000000000e+03 1.727094292640686035e+00 2.329940795898437500e-01 3.708361148834228516e+00 1.411540955305099487e-01 8.707502484321594238e-01 1.366318583488464355e+00 1.417650938034057617e+00 2.329940795898437500e-01 3.708361148834228516e+00 1.411540955305099487e-01 8.707502484321594238e-01 1.366318583488464355e+00
7.000000000000000000e+03 9.511156678199768066e-01 1.318932771682739258e-01 1.140737533569335938e+00 6.463032215833663940e-02 6.905837059020996094e-01 4.236853718757629395e-01 2.132743358612060547e+00 1.318932771682739258e-01 1.140737533569335938e+00 6.463032215833663940e-02 6.905837059020996094e-01 4.236853718757629395e-01
8.000000000000000000e+03 5.706371665000915527e-01 9.796603024005889893e-02 5.769255161285400391e-01 4.476609453558921814e-02 5.876158475875854492e-01 1.944157928228378296e-01 2.847722768783569336e+00 9.796603024005889893e-02 5.769255161285400391e-01 4.476609453558921814e-02 5.876158475875854492e-01 1.944157928228378296e-01
9.000000000000000000e+03 4.955481886863708496e-01 1.105325669050216675e-01 2.967971563339233398e-01 3.238151594996452332e-02 4.738161563873291016e-01 1.004525646567344666e-01 2.949236392974853516e+00 1.105325669050216675e-01 2.967971563339233398e-01 3.238151594996452332e-02 4.738161563873291016e-01 1.004525646567344666e-01
1.000000000000000000e+04 3.317975997924804688e-01 6.949117779731750488e-02 2.118908017873764038e-01 2.518778480589389801e-02 3.874329030513763428e-01 4.932916536927223206e-02 2.130401134490966797e+00 6.949117779731750488e-02 2.118908017873764038e-01 2.518778480589389801e-02 3.874329030513763428e-01 4.932916536927223206e-02
